userId|message|timestamp
B24|✅ Your timeslot "Meeting" on 2026-05-29 (12:30 – 16:30) was approved by Admin.|2026-05-27T07:05:29.258906800
B24|✅ Your timeslot "Meeting" on 2026-05-30 (11:30 – 14:00) was approved by Admin.|2026-05-27T07:05:29.829992
B25|✅ Your timeslot "Meeting" on 2026-05-31 (07:00 – 09:30) was approved by Admin.|2026-05-27T07:05:30.328943800
B24|✅ Your timeslot "Meeting" on 2026-05-31 (10:30 – 13:30) was approved by Admin.|2026-05-27T07:05:30.811273200
V202502310|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.536211400
V202502059|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.538208600
V202502448|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.539208400
V202502393|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.540208200
P001|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.541599300
A001|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.542604
V202502054|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.543603700
B25|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.544604800
V25|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.544604800
B26|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.545604
B24|Admin created a new bookable room: DaVinci (Capacity: 4).|2026-05-27T07:17:14.546603500
V202502310|New account request from Han (v2225).|2026-05-27T11:33:39.926337800
V202502059|New account request from Han (v2225).|2026-05-27T11:33:39.931654700
V202502448|New account request from Han (v2225).|2026-05-27T11:33:39.933684600
V202502393|New account request from Han (v2225).|2026-05-27T11:33:39.934686100
A001|New account request from Han (v2225).|2026-05-27T11:33:39.936807500
v2225|🎉 Welcome, Han! Your account has been approved.
You can now browse available appointment slots under 'Book Appointments', and track your bookings under 'Manage Schedules'.|2026-05-27T11:34:25.225486
